Name,Enthalpy,vDW,HBD,HBA,Lost Water entropy,Side chain conformational entropy
ZINC21841837,-29.3477,-13.6555,-5.96542,-9.72678,51.0,-14.32
ZINC26735806,-29.2515,-14.5049,-8.12521,-6.62133,27.0,-11.48
ZINC09560611,-29.101,-16.7201,-3.78685,-8.59411,54.0,-14.73
ZINC05256676,-29.0597,-12.5876,-6.10135,-10.3707,33.0,-10.44
BDB5459,-29.0082,-21.4645,-3.23625,-4.30753,36.0,-14.84
ZINC28895104,-28.9695,-4.59162,-10.7741,-13.6038,51.0,-12.33
ZINC26735806,-28.7063,-9.60918,-8.40937,-10.6877,51.0,-7.46
ZINC09948922,-28.6215,-11.0455,-5.77276,-11.8033,45.0,-14.08
ZINC05256676,-28.4346,-11.9452,-7.68722,-8.80211,30.0,-10.44
BDB5451,-28.3303,-14.3932,-7.54664,-6.39047,39.0,-13.33
BDB5448,-28.3254,-14.1503,-7.82718,-6.34791,39.0,-13.33
ZINC26735806,-28.2646,-17.2565,-7.55738,-3.45071,39.0,-13.49
ZINC18058858,-28.176,-18.868,-8.06137,-1.24662,36.0,-13.73
ZINC09398885,-28.0398,-17.2138,-2.51695,-8.30907,36.0,-14.540000000000001
ZINC02956599,-27.9707,-13.8596,-5.88329,-8.2278,54.0,-12.790000000000001
ZINC15853041,-27.8511,-11.298,-6.50192,-10.0512,54.0,-12.13
ZINC10122897,-27.7858,-13.8688,-2.33783,-11.5791,42.0,-11.36
ZINC22179703,-27.7687,-14.5308,-9.22592,-4.01192,45.0,-13.38
ZINC16130831,-27.7022,-15.979,-2.73544,-8.98777,36.0,-10.26
ZINC25040188,-27.2941,-16.5765,-6.71469,-4.00292,51.0,-15.3
BDB5446,-27.18,-12.2913,-8.1105,-6.77811,48.0,-12.31
ZINC02662101,-27.1419,-10.7193,-10.4055,-6.01705,42.0,-12.43
ZINC15853041,-27.017,-10.3943,-8.65651,-7.96614,45.0,-11.700000000000001
ZINC00695485,-26.972,-13.149,-4.44182,-9.3812,27.0,-11.96
BDB5457,-26.9688,-11.4261,-7.3266,-8.21609,57.0,-17.57
ZINC05256676,-26.9141,-9.73511,-7.97202,-9.207,27.0,-12.370000000000001
ZINC06430824,-26.8573,-10.0052,-6.47223,-10.3799,45.0,-10.4
ZINC28990196,-26.6527,-7.42268,-4.36926,-14.8607,33.0,-13.07
ZINC15093334,-26.5775,-11.01,-4.96155,-10.606,36.0,-8.8
ZINC06102500,-26.5215,-1.5442,-7.6001,-17.3772,54.0,-12.74
ZINC15093334,-26.5208,-13.9686,-4.21564,-8.33664,24.0,-12.88
ZINC27530367,-26.4464,-5.1598,-6.31508,-14.9715,30.0,-9.26
ZINC09398885,-26.3534,-17.0656,-2.41084,-6.87695,39.0,-14.21
ZINC31874377,-26.3151,-10.2785,-4.49396,-11.5427,51.0,-12.24
ZINC05256676,-26.2317,-12.238,-5.92679,-8.0669,57.0,-15.620000000000001
ZINC09398885,-26.0675,-17.1108,-2.74562,-6.21114,39.0,-15.25
ZINC07400412,-26.0086,-11.8401,-5.51055,-8.65798,39.0,-10.96
ZINC11745344,-25.9356,-6.52786,-8.2742,-11.1336,45.0,-14.73
ZINC02542947,-25.8762,-10.9482,-6.53697,-8.39107,30.0,-12.36
ZINC30159444,-25.8069,-9.57243,-6.1661,-10.0683,36.0,-10.56
ZINC15093334,-25.6221,-12.7932,-5.8055,-7.02337,57.0,-10.96
ZINC21447610,-25.467,-11.5416,-4.82066,-9.10475,33.0,-10.92
ZINC10491483,-25.2076,-6.17348,-5.06031,-13.9738,45.0,-10.26
ZINC09398885,-25.05,-14.6465,-2.20095,-8.20253,30.0,-8.76
ZINC27509856,-25.0332,-14.1315,-7.13037,-3.77137,36.0,-12.26
ZINC00695485,-25.0224,-12.0969,-5.96281,-6.96264,57.0,-11.4
ZINC18070554,-24.9578,-8.43392,-5.76264,-10.7613,33.0,-7.46
ZINC20235185,-24.6021,-10.1785,-7.53022,-6.89339,33.0,-8.64
BDB5451,-24.5837,-13.6057,-3.489,-7.48897,33.0,-15.59
ZINC05256676,-24.578,-10.9411,-8.00467,-5.63223,36.0,-10.13
ZINC06430824,-24.5015,-9.89269,-4.68677,-9.92204,48.0,-11.17
ZINC31467281,-24.4961,-14.5788,-4.18259,-5.73478,39.0,-10.26
ZINC15093334,-24.496,-8.87919,-5.38355,-10.2333,39.0,-10.15
ZINC24573137,-24.4529,-16.8619,-4.16534,-3.42569,27.0,-15.59
ZINC02662101,-24.4485,-12.3587,-3.6779,-8.41188,42.0,-10.6
ZINC16130831,-24.3912,-15.487,-1.53887,-7.36539,36.0,-10.97
ZINC01977251,-24.3199,-9.75654,-4.71211,-9.85122,45.0,-11.41
ZINC04698123,-24.1788,-9.89288,-4.8701,-9.41582,42.0,-12.13
ZINC23760803,-24.121,-10.7824,-9.00464,-4.33399,48.0,-8.16
ZINC05256676,-24.1031,1.359,-14.193,-11.2691,57.0,-13.34
ZINC27450238,-24.0476,0.0436269,-9.53885,-14.5524,45.0,-12.43
ZINC26903002,-24.0427,-15.5273,-3.35173,-5.16362,45.0,-14.280000000000001
ZINC01650029,-24.0418,-8.19633,-7.27752,-8.56795,84.0,-16.97
ZINC31874377,-24.0317,-11.1135,-3.77029,-9.14792,45.0,-11.26
ZINC20930311,-24.0171,-11.2765,-7.40545,-5.33517,33.0,-10.56
BDB5460,-24.0109,-19.0928,-3.73049,-1.18764,45.0,-17.67
ZINC30937390,-23.9907,-15.3298,-2.5443,-6.11667,30.0,-12.94
ZINC21607390,-23.9904,2.94288,-7.17558,-19.7577,57.0,-14.450000000000001
ZINC16130831,-23.9806,-13.1997,-2.08383,-8.69706,48.0,-13.26
ZINC26453478,-23.9598,-2.10688,-9.65396,-12.1989,39.0,-6.7700000000000005
ZINC21752932,-23.9335,-9.82824,-2.23115,-11.8741,27.0,-8.58
BDB5459,-23.7583,-14.0536,-4.22805,-5.47667,36.0,-16.89
ZINC20930311,-23.731,-10.1147,-7.49583,-6.12044,21.0,-10.49
ZINC12730111,-23.6861,-15.6087,-5.33285,-2.74455,24.0,-11.09
ZINC08525824,-23.6643,-15.3978,-3.77168,-4.49478,27.0,-12.17
ZINC15093334,-23.6553,-12.9626,-5.53891,-5.15378,33.0,-13.69
ZINC31467281,-23.439,-11.7863,-5.44442,-6.20827,36.0,-11.32
ZINC20235185,-23.4264,-3.40363,-11.4798,-8.54296,42.0,-11.49
ZINC18400292,-23.3996,-12.6015,-5.12518,-5.67289,54.0,-10.700000000000001
ZINC16130831,-23.3974,-11.8881,-2.92108,-8.58822,36.0,-10.26
ZINC00753778,-23.3392,-13.3565,-4.02202,-5.96071,30.0,-13.56
ZINC01290250,-23.3321,-15.3079,-3.61239,-4.41187,39.0,-14.75
ZINC09398885,-23.3261,-12.9849,-2.79283,-7.54838,45.0,-12.66
ZINC19313476,-23.3067,-3.57592,-9.06163,-10.6691,60.0,-17.62
ZINC06009404,-23.1836,-17.5549,-3.34615,-2.28258,33.0,-13.42
ZINC09398885,-23.176,-14.114,-3.36743,-5.69455,27.0,-13.36
ZINC06430824,-22.9853,-9.94582,-3.24053,-9.79896,48.0,-11.17
ZINC31952331,-22.9677,-14.4498,-3.11207,-5.40587,36.0,-12.43
ZINC20907067,-22.9506,-13.2599,-4.7217,-4.96903,45.0,-12.3
ZINC28368352,-22.9336,-9.15151,-5.37068,-8.41137,48.0,-11.72
ZINC19854444,-22.8876,-5.2187,-7.88485,-9.78403,30.0,-6.71
ZINC15518330,-22.7063,-6.96706,-6.01991,-9.7193,33.0,-5.29
ZINC11745344,-22.6471,-6.79359,-5.39733,-10.4562,39.0,-10.81
ZINC19854444,-22.6077,-5.22019,-7.72252,-9.66501,30.0,-6.71
ZINC15093334,-22.5821,-8.31292,-6.61569,-7.65348,33.0,-11.200000000000001
ZINC07400412,-22.5525,-7.24402,-5.76817,-9.54034,42.0,-12.84
ZINC16977658,-22.552,-13.4696,-4.54987,-4.53251,33.0,-10.31
ZINC24816694,-22.5277,-15.9694,-3.22644,-3.33187,33.0,-12.290000000000001
ZINC07759675,-22.5007,-11.9572,-5.90076,-4.64269,24.0,-8.27
ZINC19854444,-22.4791,-5.11743,-7.71529,-9.64639,30.0,-6.71
ZINC06430824,-22.2581,-11.6388,-4.57923,-6.0401,27.0,-10.5
ZINC02794487,-22.2016,-3.5848,-8.41286,-10.2039,30.0,-13.24
ZINC16864107,-22.1661,-11.1592,-3.63626,-7.37065,39.0,-11.51
ZINC19854444,-22.1018,-5.37405,-7.41976,-9.30798,30.0,-6.71
ZINC08259969,-22.0883,-10.3531,-1.85269,-9.88249,42.0,-11.51
ZINC25245897,-22.0676,-13.4264,-3.95296,-4.68823,39.0,-15.85
ZINC31542324,-22.0326,-4.25988,-8.58024,-9.19251,27.0,-6.0
ZINC14610760,-22.0207,-8.5534,-7.41682,-6.05051,45.0,-14.77
ZINC27305927,-21.8915,-11.6929,-6.38019,-3.8184,54.0,-14.27
ZINC20916793,-21.7835,-9.7636,-4.14774,-7.87212,24.0,-10.92
ZINC06444867,-21.7395,-7.61617,-4.23029,-9.89307,33.0,-11.78
ZINC30937390,-21.7107,-8.91545,-5.35241,-7.4428,30.0,-13.33
ZINC20290348,-21.6961,-17.4465,-2.43984,-1.80979,45.0,-15.19
ZINC14610760,-21.6551,-9.24908,-5.10428,-7.30176,21.0,-13.41
ZINC13706662,-21.597,-12.1147,-5.90171,-3.5806,30.0,-14.84
ZINC32088605,-21.5909,-12.4982,-3.67042,-5.42236,36.0,-16.4
ZINC01290250,-21.5768,-16.9179,-1.9848,-2.67404,33.0,-9.870000000000001
ZINC30550114,-21.4236,-10.1148,-5.98583,-5.32293,48.0,-14.8
ZINC30550114,-21.4191,-10.1199,-5.98991,-5.30934,48.0,-14.8
ZINC29302899,-21.4189,0.493609,-6.00348,-15.909,45.0,-16.39
ZINC20292762,-21.3857,-4.47724,-10.4677,-6.44072,60.0,-11.72
ZINC30550114,-21.3759,-10.0854,-5.98586,-5.3047,48.0,-14.8
ZINC30504334,-21.3703,-3.87428,-2.52642,-14.9696,39.0,-10.71
ZINC30550114,-21.3245,-10.043,-5.97848,-5.30304,48.0,-14.8
ZINC15434705,-21.2766,9.93424,-16.1019,-15.109,48.0,-15.65
ZINC13706662,-21.1903,-12.5146,-5.35999,-3.31572,33.0,-13.72
ZINC25245897,-21.1689,-14.6146,-3.61708,-2.93718,39.0,-15.85
BDB13923,-21.1219,-19.5984,-2.83997,1.31644,42.0,-17.17
BDB5448,-21.0566,-7.68526,-5.12955,-8.24182,30.0,-12.51
ZINC26411024,-21.0424,-13.9851,-2.13731,-4.92001,39.0,-16.07
BDB5459,-21.0118,-14.2999,-4.15463,-2.55728,51.0,-19.66
ZINC31843170,-21.0056,-13.8589,-2.16659,-4.98013,36.0,-12.58
ZINC26903002,-21.0004,-11.4469,-3.59398,-5.95951,42.0,-16.13
ZINC16130831,-20.9761,-8.76276,-3.31734,-8.896,39.0,-12.08
ZINC02956599,-20.9613,-12.9974,-3.5125,-4.45137,45.0,-13.040000000000001
ZINC23172771,-20.9542,-9.91844,-5.55157,-5.48414,27.0,-11.290000000000001
ZINC24816694,-20.9519,-16.3092,-2.66929,-1.97346,24.0,-13.55
BDB13915,-20.9316,-19.086,-2.81697,0.971328,36.0,-16.09
ZINC17484020,-20.9312,-6.97612,-6.03283,-7.92224,48.0,-15.75
ZINC14847561,-20.9189,-5.06435,-2.64338,-13.2112,48.0,-15.55
ZINC09658192,-20.9076,-7.32648,-5.52153,-8.05964,42.0,-12.49
ZINC25665353,-20.8929,-3.74326,-6.91884,-10.2308,30.0,-6.0
ZINC05256676,-20.84,-2.17417,-11.7649,-6.90097,45.0,-11.36
ZINC02300986,-20.7697,-3.99728,-6.88176,-9.8907,39.0,-7.73
ZINC31952331,-20.6843,-10.5804,-3.26075,-6.84316,27.0,-15.72
ZINC02932775,-20.6461,-13.0181,-2.95725,-4.67074,24.0,-12.38
ZINC06430824,-20.503,-15.773,-1.88431,-2.84567,33.0,-13.55
ZINC01058176,-20.4235,-13.2457,-4.04126,-3.13647,27.0,-13.55
ZINC23420152,-20.2985,-13.0843,-1.12258,-6.0917,33.0,-12.13
ZINC07719367,-20.1757,-3.48784,-5.64701,-11.0409,48.0,-12.49
ZINC28477336,-20.1591,-4.36974,-6.32357,-9.46576,54.0,-14.83
ZINC04258582,-20.1338,-7.705,-4.43456,-7.99423,39.0,-9.950000000000001
ZINC28477336,-20.0672,-4.98362,-6.28123,-8.80237,54.0,-14.83
ZINC30937390,-20.007,-7.7202,-6.62883,-5.65796,24.0,-10.69
ZINC14001547,-19.994,-13.2982,-3.02721,-3.66855,27.0,-14.72
ZINC08259969,-19.9522,-6.24935,-4.29368,-9.40913,33.0,-10.97
ZINC27450238,-19.9512,-8.42484,-5.15531,-6.37101,30.0,-5.67
ZINC04685065,-19.9342,-8.67306,-5.09534,-6.16578,30.0,-7.47
ZINC26151106,-19.8617,-2.68486,-7.77722,-9.39966,42.0,-14.16
ZINC22179703,-19.8523,-12.5229,-6.22836,-1.1011,36.0,-12.950000000000001
ZINC04685065,-19.8473,-8.29732,-5.33192,-6.21807,27.0,-6.62
ZINC31952331,-19.798,-9.85112,-4.53282,-5.41406,39.0,-10.870000000000001
ZINC15967682,-19.7542,-7.84553,-3.79454,-8.11416,48.0,-15.02
ZINC04743451,-19.6526,-14.6594,-3.15385,-1.83934,42.0,-10.0
ZINC23473809,-19.6326,-8.38909,-5.98896,-5.25453,42.0,-9.01
ZINC26880181,-19.3479,-11.1845,-6.06762,-2.09577,51.0,-8.6
ZINC14258569,-19.3216,-11.6208,-5.32983,-2.371,36.0,-11.71
ZINC04372600,-19.299,-5.81729,-4.14479,-9.33697,39.0,-11.700000000000001
ZINC04919514,-19.2836,-14.1361,-2.77748,-2.37002,45.0,-10.700000000000001
ZINC01994373,-19.2738,-13.7968,-4.27802,-1.19904,42.0,-14.8
ZINC13647785,-19.2546,-12.2029,-3.89468,-3.15699,33.0,-10.72
ZINC20923200,-19.2213,-13.0275,0.864041,-7.05785,51.0,-11.01
ZINC15434705,-19.1551,-5.22697,-8.03034,-5.89777,42.0,-10.47
ZINC04715688,-19.1492,-1.23683,-5.70547,-12.2069,54.0,-13.65
ZINC26453478,-19.1074,-9.87626,-3.94565,-5.28549,24.0,-9.23
ZINC11745344,-19.093,-1.68181,-4.58526,-12.826,60.0,-11.59
BDB5451,-19.0899,-9.3864,-4.97587,-4.72759,33.0,-13.33
ZINC01879261,-19.0534,-11.9612,-2.35592,-4.73624,12.0,-9.61
ZINC10491483,-19.0364,-8.3813,-5.29537,-5.35975,36.0,-13.42
ZINC14258569,-19.0076,-9.22718,-3.32195,-6.4585,42.0,-9.28
ZINC24217936,-18.9225,-12.2481,-4.94046,-1.73392,39.0,-13.16
ZINC02794487,-18.8935,-6.37343,-6.38727,-6.13279,36.0,-10.24
ZINC30504334,-18.8087,-8.28114,-4.74462,-5.78297,33.0,-14.46
ZINC05256676,-18.7769,-0.879028,-8.96512,-8.93272,39.0,-8.25
ZINC18185425,-18.7727,-10.712,-3.78362,-4.27705,30.0,-15.68
BDB13914,-18.7612,-14.7807,-3.67795,-0.302549,54.0,-9.15
ZINC09398885,-18.7612,-11.1216,-2.63981,-4.99978,36.0,-9.38
ZINC13706662,-18.7288,-12.8292,-4.64687,-1.25271,27.0,-13.41
ZINC05256676,-18.653,-6.45884,-6.47489,-5.71928,24.0,-11.32
ZINC25113432,-18.5649,-14.3233,-1.65163,-2.58993,27.0,-10.49
ZINC25630609,-18.5304,-5.92045,-4.20204,-8.40791,33.0,-9.540000000000001
ZINC15093334,-18.5255,-2.56021,-6.32293,-9.64231,42.0,-9.64
ZINC04927456,-18.5098,-11.848,-4.42609,-2.23571,27.0,-12.82
ZINC14258569,-18.4415,-10.7269,-5.36187,-2.35271,39.0,-11.71
BDB13901,-18.4032,-11.4199,-2.55758,-4.42574,36.0,-13.76
ZINC22247567,-18.3681,-11.5751,-4.24334,-2.54971,33.0,-11.18
ZINC16968157,-18.3072,-2.8666,-10.544,-4.89659,72.0,-10.66
ZINC20717172,-18.2418,-5.7666,-3.86934,-8.60591,36.0,-9.3
ZINC15434705,-18.2115,-8.63515,-5.66971,-3.90661,36.0,-9.67
ZINC28477336,-18.2003,-4.50558,-6.12408,-7.57068,57.0,-14.83
BDB13921,-18.1337,-13.954,-3.61394,-0.565809,51.0,-7.82
ZINC15518330,-18.1313,-9.30657,-3.12815,-5.69662,18.0,-8.370000000000001
ZINC26903002,-18.1269,-6.21763,-5.685,-6.22429,27.0,-7.42
ZINC15693133,-18.1037,-6.94562,-1.89362,-9.26449,45.0,-13.92
ZINC20717172,-18.0966,-10.5609,-2.03668,-5.49899,33.0,-11.19
ZINC20424555,-18.0833,-15.0375,-1.34292,-1.70289,36.0,-12.59
ZINC20290348,-18.067,-14.8485,-1.87444,-1.34405,45.0,-14.05
ZINC31843170,-18.0666,-12.612,-2.2893,-3.16527,36.0,-12.780000000000001
ZINC30937390,-17.9575,-6.97995,-6.21821,-4.75929,36.0,-8.620000000000001
ZINC01977251,-17.9375,-8.41551,-3.45337,-6.06863,48.0,-10.11
ZINC12224810,-17.9253,-13.4919,-7.6026,3.16913,42.0,-11.38
ZINC10366344,-17.9092,-12.2968,-2.46815,-3.14417,27.0,-12.290000000000001
ZINC12625117,-17.8192,-6.8518,-4.34404,-6.62332,27.0,-11.26
ZINC07744322,-17.8161,1.25165,-7.1137,-11.9541,24.0,-9.11
BDB13922,-17.7845,-13.5957,-3.74338,-0.445371,51.0,-7.82
ZINC14566381,-17.7541,-6.27696,-2.35198,-9.12518,45.0,-12.05
ZINC14963018,-17.6262,-11.8926,-3.31006,-2.42356,30.0,-10.21
ZINC22810361,-17.6062,-11.4348,-3.80436,-2.36703,36.0,-12.13
ZINC09560611,-17.598,-4.98394,-3.02233,-9.59174,57.0,-14.09
ZINC26646291,-17.5938,-3.63309,-3.51242,-10.4483,48.0,-14.18
ZINC04229672,-17.5804,-9.59357,-0.829443,-7.15741,27.0,-5.26
ZINC20930311,-17.496,-8.51108,-5.08871,-3.89617,30.0,-12.290000000000001
ZINC14001547,-17.4871,-13.3699,-3.43105,-0.686179,30.0,-11.61
ZINC13647785,-17.4862,-9.66112,-3.95596,-3.86911,30.0,-12.540000000000001
BDB5457,-17.4444,-6.90294,-5.58864,-4.95281,51.0,-17.43
ZINC12224810,-17.428,-13.7705,-4.82234,1.16484,42.0,-13.26
ZINC23298889,-17.392,-12.8859,-1.01199,-3.49411,9.0,-11.16
ZINC05256676,-17.387,-4.53702,-7.34991,-5.50004,27.0,-10.91
ZINC00998893,-17.3231,-12.9584,-0.74269,-3.62209,12.0,-7.45
ZINC31843170,-17.2781,-11.964,-2.3349,-2.97923,39.0,-12.780000000000001
BDB13901,-17.2756,-11.6929,-3.04526,-2.5374,54.0,-16.5
BDB13900,-17.2138,-11.637,-3.04039,-2.53642,54.0,-16.5
ZINC22926646,-17.1572,-14.7702,-1.71408,-0.672894,24.0,-13.43
ZINC27605261,-17.1372,-8.72975,-3.1976,-5.20985,24.0,-11.290000000000001
ZINC21841837,-17.1322,-6.73186,-4.37883,-6.02152,48.0,-11.48
ZINC14258569,-17.072,-10.7905,-3.78014,-2.50135,33.0,-12.08
ZINC12224810,-17.0498,-13.202,-7.44441,3.5966,42.0,-12.46
ZINC28477336,-17.039,-3.62423,-5.96479,-7.44997,54.0,-15.450000000000001
ZINC13706662,-17.0187,-7.36735,-6.32778,-3.32355,33.0,-16.05
ZINC04743451,-16.8298,-6.41339,-3.71974,-6.69668,36.0,-14.69
ZINC18943128,-16.8256,-11.4763,-3.44943,-1.89988,63.0,-12.450000000000001
ZINC13647785,-16.7631,-10.9485,-1.76933,-4.04521,27.0,-10.56
BDB13913,-16.759,-12.7114,-3.78775,-0.259808,54.0,-9.15
ZINC09398885,-16.7585,-11.3115,-2.62972,-2.8172,36.0,-9.38
ZINC19313476,-16.7394,-2.31619,-4.90394,-9.51931,60.0,-17.62
ZINC02662101,-16.6447,-6.81711,-3.40205,-6.42557,30.0,-9.85
ZINC19708299,-16.6413,-9.43825,-4.76635,-2.43671,54.0,-16.3
ZINC14258569,-16.6107,-9.08265,-5.22248,-2.30555,42.0,-11.71
ZINC05842609,-16.5972,-9.17579,-4.43079,-2.99059,36.0,-10.92
ZINC10491483,-16.5772,-7.12788,-1.48972,-7.95962,30.0,-7.72
ZINC12982688,-16.4782,-10.0129,-1.7026,-4.76271,12.0,-16.490000000000002
ZINC18135386,-16.4719,-11.167,-1.83863,-3.46632,21.0,-7.34
ZINC14842710,-16.4495,5.69705,-12.4731,-9.67343,60.0,-13.9
ZINC24573137,-16.4456,-7.33791,-4.12096,-4.98675,45.0,-16.07
ZINC20834808,-16.4015,-9.01045,-6.03601,-1.35502,36.0,-8.22
ZINC02957495,-16.4008,-11.2527,-3.15333,-1.99479,36.0,-12.26
ZINC20717172,-16.3907,-7.26956,-2.8315,-6.28968,21.0,-10.47
ZINC30159444,-16.3811,-4.43245,-6.66901,-5.27968,42.0,-13.56
ZINC07266305,-16.3643,-2.00531,-6.0484,-8.31054,27.0,-11.1
ZINC20032260,-16.2991,-6.29955,-3.96207,-6.03746,21.0,-11.44
ZINC11363922,-16.2302,-4.27613,-5.53142,-6.42267,33.0,-12.51
ZINC25630609,-16.1952,-2.62983,-3.60976,-9.95565,39.0,-8.790000000000001
ZINC17287104,-16.1908,-12.1418,-3.33533,-0.713641,51.0,-15.11
ZINC23172771,-16.1885,-6.58368,-5.9273,-3.67749,39.0,-12.44
ZINC20425160,-16.1856,-13.5416,-1.51086,-1.13309,21.0,-13.780000000000001
ZINC25782886,-16.1708,-9.36544,-3.56155,-3.24379,54.0,-14.43
ZINC05227114,-16.1674,-3.34705,-6.94304,-5.8773,57.0,-12.81
ZINC29311214,-16.1618,-3.72962,-3.38598,-9.04623,48.0,-10.07
ZINC24933150,-16.1617,2.94675,-7.514,-11.5944,57.0,-12.41
ZINC02680383,-16.1477,-9.68181,-1.0304,-5.43547,21.0,-5.25
BDB5441,-16.1304,-9.47046,-3.66482,-2.99515,45.0,-17.67
ZINC07400412,-16.0978,-2.82131,-5.45544,-7.82109,39.0,-11.73
ZINC27605261,-16.0961,-10.4371,-5.21913,-0.439885,45.0,-10.25
ZINC21736574,-16.0872,-5.75972,-4.42856,-5.89889,30.0,-6.0
ZINC06009404,-16.0567,-11.8749,-2.1639,-2.01782,21.0,-13.700000000000001
ZINC26880181,-16.0435,-11.2844,-4.1439,-0.615148,45.0,-8.6
BDB5460,-16.0208,-11.0178,-4.13594,-0.866992,39.0,-18.01
BDB5460,-16.0193,-4.02726,-5.97807,-6.01396,69.0,-19.31
ZINC28777199,-15.9778,-10.7536,-1.70703,-3.51715,36.0,-12.06
ZINC20916793,-15.96,-13.6018,1.59913,-3.95727,63.0,-14.040000000000001
ZINC20292762,-15.912,-5.79848,-4.79967,-5.31384,33.0,-6.5200000000000005
ZINC16968157,-15.8606,-12.6777,-1.23904,-1.94382,18.0,-11.790000000000001
ZINC27605261,-15.838,-8.72969,-2.91706,-4.19124,30.0,-14.530000000000001
ZINC22810361,-15.8011,-14.8286,-4.07445,3.10192,39.0,-12.91
ZINC23436537,-15.787,-11.9653,-0.310076,-3.51156,24.0,-8.23
ZINC24217936,-15.7427,-10.0042,-3.71519,-2.02337,45.0,-13.16
ZINC27445499,-15.6761,-8.45558,-2.13084,-5.08966,27.0,-12.83
ZINC02932740,-15.6729,-8.67297,-2.98629,-4.01364,24.0,-10.5
ZINC13922344,-15.6301,-7.03192,0.257447,-8.85565,42.0,-14.14
ZINC04919514,-15.6059,0.652172,-8.31437,-7.94371,48.0,-10.84
ZINC25356948,-15.528,-5.17488,-0.502345,-9.85076,21.0,-4.22
ZINC04743451,-15.4913,-10.3452,-3.72927,-1.4168,39.0,-11.0
ZINC14258569,-15.4784,-9.71865,-3.34834,-2.41146,30.0,-11.0
ZINC12600967,-15.4353,3.56945,-6.52629,-12.4785,54.0,-14.450000000000001
ZINC14056947,-15.4346,-14.6053,-1.52228,0.692963,45.0,-18.42
ZINC22179703,-15.3859,-10.7088,-3.34157,-1.33557,39.0,-11.450000000000001
ZINC20424555,-15.3326,-9.00094,-2.88804,-3.44363,54.0,-14.05
ZINC10535795,-15.2544,-10.178,-2.125,-2.95137,48.0,-12.49
ZINC15406385,-15.2411,-10.0672,-2.81903,-2.35481,36.0,-11.0
ZINC20834808,-15.2259,-6.74398,-4.28754,-4.19442,42.0,-8.78
ZINC23473809,-15.2182,-11.923,-2.47463,-0.820571,36.0,-10.44
BDB5448,-15.1721,-11.8288,-2.83605,-0.507256,24.0,-10.27
ZINC05104248,-15.1703,1.28962,-3.41057,-13.0494,36.0,-13.43
ZINC14566381,-15.0945,-6.37974,-4.28945,-4.42534,39.0,-11.46
ZINC15093334,-15.0742,1.62909,-6.24273,-10.4606,21.0,-6.98
ZINC27382163,-15.0692,-11.2122,-2.36709,-1.4899,30.0,-14.280000000000001
ZINC14566381,-14.9151,-5.44766,-5.85922,-3.60825,42.0,-12.55
BDB13901,-14.905,-8.02159,-3.63012,-3.25327,45.0,-11.18
ZINC02662101,-14.9021,-0.198033,-5.78509,-8.91896,48.0,-15.55
ZINC13647785,-14.8904,-6.31448,-3.55166,-5.02423,33.0,-12.58
ZINC13712696,-14.8265,-8.45545,-4.84291,-1.52818,33.0,-7.54
ZINC11612972,-14.8185,-7.18817,-2.45646,-5.17383,33.0,-8.88
ZINC06430824,-14.8151,-9.05871,-2.39789,-3.35852,42.0,-8.25
